"Image Name","PID","Session Name","Session#","Mem Usage"
"SearchFilterHost.exe","7512","Services","0","10.544 K"
"smartscreen.exe","15128","Console","16","18.976 K"
"taskhostw.exe","4588","Services","0","8.600 K"
"dllhost.exe","8200","Services","0","9.436 K"
"pycharm64.exe","7356","Console","16","448.316 K"
"svchost.exe","8320","Services","0","5.948 K"
"fsnotifier64.exe","4520","Console","16","5.536 K"
"conhost.exe","7384","Console","16","6.252 K"
"python.exe","15104","Console","16","11.112 K"
"conhost.exe","11496","Console","16","6.524 K"
"cmd.exe","14996","Console","16","5.396 K"
"tasklist.exe","15508","Console","16","9.300 K"
